,"Initial Coding Methodology, Before Any Reading",,,,,,,,,,,,,,,,,,,,,Post-reading coding,Post-reading coding,,,,,,,RR coding,
2018,SASO_Reichstaller,Can Markov Decision Processes (MDP) be used to derive test strategies for self-adaptive systems at runtime?,Simulation,Simulation,Test of self-adaptive systems,Learning quality,N/A,N/A,Positive,Robotics (Smart Vacuum System),Robotics,mobel-based reinforcement learning,model-free reinforcement learning,"Yes (simulation, methods, all available on GitHub)",Yes,A random appraoch + a model-free RL approach,A random appraoch + a model-free RL approach,No,No,No,1,N/A,N/A,No,Yes,N/A,N/A,Y,N,MDP - reinforcement learning a mixture of model-free and model-based approaches,Learning
2018,SASO_Seipp,How one achieve graceful and efficient changes between SLPs by manipulating ALPs?,Simulation,Simulation,Agent-based models,Modelling,Level 3,Level 3,Neutral,Swarm of robots (flocking),Robotics,,,No (no code),No,Three different transition approaches,Three different transition approaches,No,No,No,1,N/A,N/A,No,No,N/A,N/A,N,N,N/A,N/A
2018,SASO_Verstaevel,Can self-organising learning models be applied to improve anomalies detection?,Simulation + initial experiments in real settings,Simulation/real,Anomaly detection in learning models,Fault tolerance,Level 3,Level 3,Positive,Healthcare (elderly people),Other,,,Partial (no code - only high level algorithms),No,Analysed different parameters,Analysed different parameters,Yes,No,No,3,Did not provide,Private,No,Yes,Parametric,Parametric,N,N,Heuristics,Policy
2018,SASO_Brand,How to use runtime models to build a generic adaptive monitoring?,Simulation,Simulation,Adaptive monitoring,MAPE-K optimisation,Level 4,Level 4,Positive,Online shop tenants,Data centres,,,No (no code),No,Exhaustive monitoring,Exhaustive monitoring,No,No,No,4,Public (online shopping data),Public,No,Yes,Architectural,Structural,N,N,Model-driven,N/A
2018,SASO_Budhraja,How to optimise the suggested SLPs and formulate a solution using iterative feedback?,Simulation,Simulation,Agent-based models programming by demonstration,Distributed coordination,Level 4,Level 4,Positive,Agents modelling forest fires,Multi-agent,,,No (no code),No,Different regression models,Different regression models,No,No,No,1,N/A,N/A,No,No,Behavioural,Meta,N,N,Regression,Learning
2018,SASO_Frasheri,How can local reasoning mechanisms to adapt the level of cooperation among agents improve the overall system's performance?,Simulation,Simulation,Multi-robots adaptive autonomy,Performance,Level 4,Level 4,Positive,Search and rescue scenarios (fire rescue),Other,,,Yes (code provided),Yes,Static policy,Static policy,No,No,No,3,N/A,N/A,No,Yes,Behavioural,Meta,Y,N,Math model,Policy
2018,SASO_Jahan,Can system's be made security aware by expressing and managing the controls and adaptation operators so that changes to a security assurance case can be embedded and traced within the executing system?,Case study analysis,Theoretical analysis,Adaptive security control assurance,Security,Level 4,Level 4,Neutral,Smart Inventory Management system,Cyber-security,,,No (no code),No,No comparison,No comparison,No,No,No,3,N/A,N/A,No,Yes,Architectural,Structural,N,N,Template-based,N/A
2018,SASO_Patros,"Which conditions are required for the flattening down and spreading out of resource utilization of a tenant to be beneficial to a co-located tenant, particularly when that scaled-down task is GC ?",Real application (A toy application),Real-world experiment,GC elasticity to reduce impact on multitenant cloud environments,Performance,Level 4,Level 4,Positive,Cloud platforms / applications,Data centres,,,Partial (no code - only high level algorithms),No,With the concept and without the concept,With the concept and without the concept,Yes,Yes,Yes,0,N/A,N/A,No,Yes,Parametric,Parametric,Y,N,Rule-based,Policy
2018,SASO_Wall,Which mode of coordination emerges when the task complexity is imperfectly known?,Simulation,Simulation,Adaptive coordination in multiple agent collaborative systems,Distributed coordination,Level 3,Level 3,Neutral,Cooprative multi agent systems,Multi-agent,,,No (no code),No,Different scenarios,Different scenarios,No,No,No,0,N/A,N/A,No,No,Behavioural,Meta,Y,N,Reinforcement learning,Learning
2018,ICAC_He,How to automatically identify timeout bugs using anomaly detection and unsupervised behaviour learning method?,Real application,Real-world experiment,Autonomously identifies timeout bugs,Fault tolerance,N/A,N/A,Positive,Cloud server systems,Data centres,,,No (no code),No,Existing generic bug detection tools,Existing generic bug detection tools,Yes,Yes,Yes,2,Public (bug reports),Public,No,Yes,N/A,N/A,N,N,N/A (Unsupervised behaviour learning method -- identifies timeout bugs),Learning
2018,ICAC_Zacheilas,How to select the appropriate big data framewok that will meet application performance requirements and at the same minimize the required monetary cost for executing them?,Real application,Real-world experiment,Determines which big data framework to use based on application demands,Alt,N/A,N/A,Positive,Big data cloud-based frameworks,Data centres,,,Partial (no code - only high level algorithms),No,Other existing tools,Other existing tools,Yes,Yes,Yes,2,N/A,N/A,No,Yes,N/A,N/A,N,N,N/A (Decision tree to select framework -- no adaptation),N/A
2018,ICAC_Balasubramanian,How to auto-tune a pub/sub system by changing some of its parameters?,Real application,Real-world experiment,Auto-tuning of pub/sub systems,Performance,Level 4,Level 4,Positive,Lookup services,Other,,,No (no code),No,Other existing solutions,Other existing solutions,Yes,Yes,Yes,1,N/A,N/A,No,Yes,Parametric,Parametric,N,N,Math model,Policy
2018,ICAC_Lakew,How to simultaneously provision virtual cores to VMs and clone requests to achieve the target tail latency at a minimum provisioning cost?,Real application + testbed,Real-world experiment,Adjust core provisioning and request replication for reducing small tail latency,Performance,Level 4,Level 4,Positive,Web systems,Data centres,,,No (no code),No,Different scenario analysis + Greedy approaches,Different scenario analysis + Greedy approaches,Yes,Yes,Yes,2,Public (wikipedia e fifa workloads),Public,No,Yes,Parametric,Parametric,Y,N,Math model,Policy
2018,ICAC_Krzywda,How to manage power allocation in consolidated servers with multiple co-located workloads whilst considering QoS degradation and power budget?,Real application,Real-world experiment,Power consumption limitation with reduced QoS impact,Energy efficiency,Level 4,Level 4,Positive,Power capping,Data centres,,,Yes,Yes,Analysis of different scenarios + Previous approaches,Analysis of different scenarios + Previous approaches,Yes,Yes,Yes,4,Public (workload),Public,No,Yes,Parametric,Parametric,N,N,Math model,Policy
2018,ICAC_Nylander,"How to minimise interference between two control policies, namely load balancing and graceful degradation to best control response time and resource utilisation?",Simulation,Simulation,"Managing load balance, resource capacity and graceful degradation",Performance,Level 4,Level 4,Positive,Resource capacity management,Data centres,,,Yes,Yes,Compared to the state of the art approaches,Compared to the state of the art approaches,No,No,No,4,N/A,N/A,Yes,Yes,Parametric / Policy,Parametric,N,N,Control Theory,Control theory
2018,ICAC_Pandey,How to enable energy-efficient and robust dictionary learning in distributed camera networks by leveraging the spatial correlation of collected multimedia data?,Simulation + real application (testbed),Simulation/real,Energy-efficient and robust dictionary learning in distributed camera networks (in-network image processing),Energy efficiency,N/A,N/A,Positive,Distributed wireless camera networks,Computer vision,,,No (no code),No,Analysis of different scenarios,Analysis of different scenarios,No,No,No,1,Public (dataset),Public,No,Yes,N/A,N/A,N,N,N/A (Dictionary learning for camera in-network compression),N/A
2018,ICAC_Arnaboldi,How to orchestrate power-capping considering system's performance and power optimisation in workloads of Kubernetes and Docker based environments?,Simulation,Simulation,Power optimisation and performance aware orchestrator in cloud-based environments,Energy efficiency,Level 4,Level 4,Positive,Power capping,Data centres,,,No (no code),No,Analysis of different workloads + public benchmarks,Analysis of different workloads + public benchmarks,No,No,No,2,Public (benchmarks),Public,No,Yes,Parametric,Parametric,N,N,ODA control loop,Policy
2018,ICAC_Kostentinos,How to provide dynamic resource management whilst improving energy efficiency with minimal performance impact in heterogeneous clouds?,Real application (benchmarks and synthetic workloads),Real-world experiment,Energy efficient and performance aware provision  in cloud environments,Energy efficiency,Level 4,Level 4,Positive,Energy efficient Cloud environments,Data centres,,,No (no code),No,Benchmarks + state of the art approaches,Benchmarks + state of the art approaches,Yes,No,No,4,Public (benchmarks),Public,No,Yes,Parametric,Parametric,N,N,"Admission control, Scheduling, and Online Resource Allocation Methods and Application Priority Techniques",Policy
2018,ICAC_Younis,How to create a resource allocation scheme that optimizes the network energy efficiency of a C-RAN ?,Simulation + real-time experiments on C-RAN testbed,Simulation/real,Allocation scheme for energy efficient C-RAN (Cloud Radio Access Network),Energy efficiency,Level 4,Level 4,Positive,Energy efficient networks,Other,,,Partial (no code - only high level algorithms),No,Simulations of different scenarios + other algorithms,Simulations of different scenarios + other algorithms,Yes,No,No,6,N/A,N/A,No,Yes,Parametric,Parametric,N,N,Models based on emperical testing for allocation scheme,Policy
2018,ICAC_Szep,"How to effectively handle complex geometry, inhomogeneity, and efficient error control for Cardiac FEM Simulations?",Real application,Real-world experiment,Two-levels autonomous optimisation based on ML,Performance,Level 4,Level 4,Positive,Healthcare (electrophysiological simulations of the heart),Other,Machine learning,Optimisation models,No (no code),No,Baseline GPU stencil implementation,Baseline GPU stencil implementation,Yes,Yes,Yes,0,N/A,N/A,No,Yes,Parametric,Parametric,N,N,Machine learning (Classification and regression trees),Learning
2018,ICAC_Gueye,How to define a DSL to guide an automated methodology for the control of dynamic adaptation of FPGA based on Control Theory and Finite State Automata?,Simulation + simple real application,Simulation/real,Domain-specific language to generate Autonomic Manager for FPGAs,Research tool,N/A,N/A,Neutral,Embedded systems (e.g. video processing for UAV),Robotics,automata,descrete control techniques,No (no code),No,Simulation of different scenarios,Simulation of different scenarios,Yes,No,No,0,N/A,N/A,No,Yes,N/A,N/A,N,N,Domain-specific language to generate a Autonomic Manager based,Policy
2018,ICAC_Mehta,How to design a distributed algorithms for placing IoT applications in heterogeneous environments including devices and Mobile Edge clouds ?,Simulation,Simulation,Distributed placement algorithm for heterogenous IoT environment,Other optimisation,Level 3,Level 3,Neutral,IoT applications,Internet of Things,,,Partial (no code - only high level algorithms),No,Analysis of different scenarios + Previous approaches,Analysis of different scenarios + Previous approaches,No,No,No,7,N/A,N/A,No,Yes,Placement,Structural,N,N,Search-based distributed algorithms,Policy
2018,ICAC_Gabor,How keeping diversity amongst the considered plans can improve planning resilience in evolutionary algorithms exposed to unforeseen changes?,Simulation (model example),Simulation,Planning resilience in evolutionary algorithms,Fault tolerance,N/A,N/A,Positive,Automatic optimisation in industrial systems,Other,,,No (no code),No,Analysis of different scenarios,Analysis of different scenarios,No,No,No,4,N/A,N/A,No,Yes,N/A,N/A,N,N,Diversity-aware evolutionary algorithm,Learning
2018,ICAC_Ali,How to better utilise spare resources in bursty workloads in cloud environments?,Benchmark applications,Real-world experiment,Autonomic scheduling to maximise efficiency of spare resources in cloud environments,Other optimisation,Level 3,Level 3,Positive,Cloud computing resource utilisation,Data centres,Lightweight profiling,regression,No (no code),No,Benchmark application for verifying prediction accuracy + default mechanisms,Benchmark application for verifying prediction accuracy + default mechanisms,No,No,No,4,Public benchmark,Public,No,Yes,Parametric,Parametric,N,N,Prediction model,Learning
2018,ICAC_von_Kistowski,How to predict energy consumption of component placement at runtime?,Real application,Real-world experiment,Predicting power consumption for component deployments,Energy efficiency,Level 3,Level 3,Positive,Power consumption on heterogeneous environments,Data centres,gradient tree boosting,,Partial (no code - only high level algorithms),No,Actual measurements,Actual measurements,Yes,Yes,Yes,12,Public (workloads),Public,No,Yes,N/A,N/A,N,N,Prediction model,Learning
2018,ICAC_Tadakamalla,How to create autonomic controllers for multi-server systems subject to workload surges of generic trapezoidal shapes during which the average arrival rate of requests exceeds the systemâ€™s capacity?,Simulation,Simulation,Two controllers to identify and react by increasing or decreasing servers to handle incoming requests,Performance,Level 4,Level 4,Positive,Elasticity of cloud environments,Data centres,,,Partial (no code - only high level algorithms),No,Baseline (no controller) against the approach (with the controller),Baseline (no controller) against the approach (with the controller),No,No,No,4,Public (workload),Public,No,Yes,Structural,Structural,N,N,Model-driven,Policy
2018,ICAC_Barlaskar,How to detect application-specific QoS violations through user-centric cloud monitoring?,Real applicaiton,Real-world experiment,Detection of QoS violation on stream applications,Alt,Level 3,Level 3,Positive,QoS violation on cloud environmnets (IaaS),Data centres,,,Partial (no code - only high level algorithms),No,Analysis of different scenarios,Analysis of different scenarios,Yes,No,No,0,Public (workload),Public,No,Yes,N/A,N/A,N,N,N/A,N/A
2018,ICAC_Riley,How can Kolmogorov-Smirnov (KS) test be used to analyse process performance to detect system's degradation? How Pearson correlations can determine if the system processes or monitor processes are affected when a system-wide failure occurs?,Real application,Real-world experiment,Detecting degradation in industrial application,Fault tolerance,Level 4,Level 4,Positive,Industrial gas flow transaction system,Other,Kolmogorov-Smirnov (KS) test,Pearson correlation,No (no code),No,Analysis of different scenarios,Analysis of different scenarios,Yes,No,No,0,N/A,N/A,No,Yes,N/A,N/A,N,N,N/A,N/A
2018,ICAC_Mouline,How does tracing adaptive system's state to previous circumstances with temporal data model assist developers to track anomalies in complex adaptive systems?,Real application,Real-world experiment,Diagnosis of adaptive systems,MAPE-K optimisation,N/A,N/A,Neutral,Smart grid,Other,,,Yes,Yes,N/A,N/A,No,No,No,5,N/A,N/A,No,Yes,N/A,N/A,N,N,N/A,N/A
2018,ICAC_Mann,How to  dynamically modify the adaptation logic to address the changing adaptation requirements?,Simulation,Simulation,"Auto-adjusting adaptation logic, considering for instance adaptation speed and adaptation quality",MAPE-K optimisation,Level 4,Level 4,Positive,Cloud resource allocation system,Data centres,,,No (no code),No,"Other existing appraoches (heuristic, ILP-based)","Other existing appraoches (heuristic, ILP-based)",No,No,No,3,N/A,N/A,No,Yes,Parametric,Parametric,N,N,Auto-adjusting,Policy
2018,ICAC_Ghahremani,Is it possible to systematically train and learn a prediction model for the utility-changes in a utility-driven rule-based self-adaptive system (particularly when the detailed knowledge of the system is not available)?,Simulation,Simulation,Methodology to learn the changes of the system utility through prediciton models,Learning quality,Level 4,Level 4,Positive,Architecture-based self-adaptive systems that are rule-based,General SAS,,,No (no code),No,Ground truth,Ground truth,Yes,No,No,11,Public (available failure traces),Public,No,Yes,N/A,N/A,Y,N,Prediction model,Learning
2018,ICAC_Hadded,How to optimally allocate cloud resources to autonomic SBAs so that the required QoS is met while reducing the consumption cost as per the economic model of Cloud computing?,Simulation,Simulation,Components placement based on minimizing the overall deployment cost,Other optimisation,Level 3,Level 3,Positive,Resource allocation in the cloud,Data centres,Integer Linear Programming,,Partial (no code - only high level algorithms),No,Proposed approach vs optimal solution,Proposed approach vs optimal solution,No,No,No,1,Did not provide (Generated data),Private,No,Yes,Parametric,Parametric,N,N,Math model,Policy
2018,SEAMS_Borda,How a language can tackle the complexity of verifying Self-adaptive Cyber-physical systems?,Case study analysis,Theoretical analysis,Language for formal verification of Cyber physical Systems,Modelling,N/A,N/A,Positive,Cyber-physical Systems (Smart art gallery),Internet of Things,,,No (no code),No,No comparison (used a pre-existing verification tool),No comparison (used a pre-existing verification tool),No,No,No,4,N/A,N/A,No,Yes,N/A,N/A,N,N,N/A,N/A
2018,SEAMS_Edwards,How to create a non-subjective and quantitative approach to reason about NFR satisfaction in multi-objective self-adaptation without relying on human expertise?,Case study analysis,Theoretical analysis,Degree of satisfaction or violation of NFR,Modelling,N/A,N/A,Positive (mostly),Health care (Tele assistance system),Other,,,No (no code),No,Adaptation with no adaptation,Adaptation with no adaptation,No,No,No,3,N/A,N/A,No,Yes,N/A,N/A,N,N,N/A,N/A
2018,SEAMS_Paucar,How to use POMDPs to reduce uncertainty in the process of choosing design compositions that better satisfy a set of NFRs?,Map the decision making of Self-adaptive System onto a decision-problem solved by a POMDP,Theoretical analysis,POMDPs to tackle uncertainty in choosing a certain design to satisfy NFRs,MAPE-K optimisation,N/A,N/A,Neutral,Robot vacumn clearner,Robotics,Bayesian learning,,No (no code),No,N/A,N/A,No,No,No,2,N/A,N/A,No,Yes,N/A,N/A,N,N,"POMDPs, bayesian learning",Learning
2018,SEAMS_Weiss,How to  integrate undependable self-adaptive subsystems into safety-critical environments?,Real application,Real-world experiment,Self-adaptation envelopes which manage undependablesystem parts,Fault tolerance,Level 3,Level 3,Positive (mostly),Cyber-physical Systems integration (autonomous driving),Self-Driving Cars,,,No (no code),No,Analysis of different scenarios (identified failures and how their handling are performed),Analysis of different scenarios (identified failures and how their handling are performed),No,No,No,3,N/A,N/A,No,Yes,N/A,N/A,N,N,N/A,N/A
2018,SEAMS_Delnat,How an easy-to-use and extensible workbench exemplar which allows researchers to implement and evaluate different self-adaptive approaches to autoscaling container-orchestrated services should be designed?,Real application,Real-world experiment,Workbench for autoscaling dataclusters,Research tool,N/A,N/A,Neutral,Autoscaling data clusters,Data centres,,,Yes,Yes,N/A,N/A,Yes,No,No,12,N/A,N/A,No,Yes,N/A,N/A,N,N,N/A,N/A
2018,SEAMS_Kinneer,How to reuse prior planning knowledge to adapt system's plan in face of uncertainty?,Real application (synthetic scenario),Real-world experiment,Genetic programming to create self-adaptive system's planner,MAPE-K optimisation,Level 4,Level 4,Negative,Cloud web server architecture,Data centres,,,Yes,Yes,GP planner vs exhaustive planner,GP planner vs exhaustive planner,Yes,No,No,7,N/A,N/A,No,Yes,Behavioural,Meta,Y,N,Genetic programming,Learning
2018,SEAMS_Moreno,How to implement uncertainty reduction in self-adaptive systems?,Case study,Theoretical analysis,"Reducing uncertainty in two dimensions: lack of knowledge, random changes.",MAPE-K optimisation,Level 4,Level 4,N/A,Self-protecting systems,General SAS,,,No,No,N/A,N/A,No,No,No,5,N/A,N/A,Yes,Yes,Any (not specified),Meta,N,N,Any (not specified),N/A
2018,SEAMS_Gerostathopoulos,How to perform self-adaptation on black-box systems that are hard and risky to adapt using statistical guarantees?,Simulation,Simulation,Runtime optimization with statistical testing guarantees and grounded method for handling cost of bad adaptation decisions,Modelling,Level 4,Level 4,Positive,Traffic navigation,Internet of Things,Bayesian Optimisation with Gaussian Processes,,Yes,Yes,Baseline (standard usage of BOGP),Baseline (standard usage of BOGP),No,No,No,10,N/A,N/A,No,Yes,Parametric,Parametric,N,N,BOGP,Policy
2018,SEAMS_Olaechea,How to efficiently analyse all product line variants on recent environmental inputsto obtain an estimate of the quality of service that each one ofthe product variants would have had?,Generated data for three case studies,Theoretical analysis,Dynamic software product line - product variant runtime performance analysis,Performance,N/A,N/A,Positive (mostly),"Unmanned Aerial Vehicle (UAV), a tele-assistance system, asmall e-commerce system, and an elevator system",Robotics,,,Partial (no code - only high level algorithms),No,Approach vs analysis of each product individually,Approach vs analysis of each product individually,Yes,No,No,3,Generated data (not public),Synthetic,No,Yes,Architectural (turn features on and off),Structural,N,Y,runtime analysis,Policy
2018,SEAMS_Trollmann,How to construct a framework that aims at combining hybrid adaptation policies  ?,Case study,Theoretical analysis,A framework to define hybrid adaptation policies,MAPE-K optimisation,N/A,N/A,Neutral,IoT (DetaIOT),Internet of Things,,,No,No,N/A,N/A,No,No,No,1,N/A,N/A,No,Yes,Any (not specified),Meta,N,N,Any (not specified),N/A
2018,SEAMS_Silva,Systematic review: How the UML has beencustomized to create DSMLs that provide proper support forSaSs modeling?,Systematic review,Systematic review,Domain-specific modelling language for self-adaptive systems,Research tool,N/A,N/A,Neutral,UML for DSML for SAS,Research tools,,,No,No,N/A,N/A,No,No,No,2,Public (papers),Public,No,N/A,N/A,N/A,Y,N,N/A,N/A
2018,SEAMS_DeVries,How to models at runtime can assist in detecting features that can fail due to n-way features interaction at runtime?,Case study,Theoretical analysis,Models at runtime to detect features that can fail at runtime,Fault tolerance,Level 4,Level 4,Positive,Industry-based automotive braking system,Self-Driving Cars,,,No,No,N/A,N/A,No,No,No,4,N/A,N/A,No,Yes,Behavioural,Meta,N,N,Feature model,Policy
2018,SEAMS_Vogel,"How to create an exemplar that supports developing, evaluating, and comparing model-basedself-adaptation off the shelf?",Simulator tool,N/A,A system's examplar for model-based architectural,Research tool,N/A,N/A,Positive,Market place for selling or auctioning items,Research tools,,,Yes,Yes,N/A,N/A,Yes,No,No,10,N/A,N/A,No,Yes,Architectural,Structural,N,N,N/A,N/A
2018,SEAMS_Faccin,How to create multi agent systems capable of reverting actions?,Simulation,Simulation,Reverting actions using belief-desire-intension BDI,MAPE-K optimisation,Level 4,Level 4,Positive,Smart homes,Multi-agent,,,No,No,No comparison,No comparison,No,No,No,1,N/A,N/A,No,Yes,Parametric,Parametric,N,N,BDI,Policy
2018,SEAMS_Pournaras,How to design a domain-independent software prototyping toolkit for modeling and simulation of self-management systems that serve interdependent networks?,Simulator tool,N/A,Software prototyping toolkit,Research tool,N/A,N/A,Positive,"Interdependent socio-technical networks (power grids, water network, communication networks, etc.)",Research tools,,,Yes,Yes,N/A,N/A,No,No,No,8,N/A,N/A,No,Yes,N/A,N/A,Y,N,N/A,N/A
2018,SEAMS_Ductor,How to design a decentralised coordination mechanism supporting adaptive replication for multi-agent systems?,Experimental and theoretical validation,Simulation,Adapting replication strategy in multi-agent systems,Distributed coordination,Level 4,Level 4,Positive,Fault-tolerence in multi-agent systems,Multi-agent,,,No,No,Other approches (DCOP is one),Other approches (DCOP is one),No,No,No,0,N/A,N/A,No,Yes,Behavioural,Structural,N,N,Protocol for sharing information in a multi-agent system,N/A
2018,SEAMS_Moreno,How to design a self-adaptive web application examplar?,Simulator tool,N/A,Web system examplar,Research tool,N/A,N/A,Positive,Self-adaptive web system,Research tools,,,Yes,Yes,N/A,N/A,No,No,No,1,Public,Public,No,Yes,Parametric,Parametric,N,N,Any (not specified),N/A
2018,SEAMS_D'Angelo,How to manage uncertainties throughself-adaptation when engineering a fully decentralized computing infrastructure?,Research proposal,N/A,Self-adaptation as a means to manage uncertainty in fully decentralised infrastructures,Alt,Level 4,Level 4,Neutral,Edge computing,Other,,,No,No,No comparison,No comparison,No,No,No,3,N/A,N/A,No,Yes,N/A,N/A,Y,N,N/A,N/A
2018,SEAMS_Marshall,How to formalize the process of certification for security controls by expressing and verifying the functional and non-functional requirements to determine what risks are introduced through self-adaptation?,Program example,Theoretical analysis,Security certification awareness within a self-adaptive information system,Security,Level 4,Level 4,Positive,Security in self-adaptive systems,Cyber-security,KIV theorem prover,,No,No,Prior risk assessment and adaptive plan comparison methodology,Prior risk assessment and adaptive plan comparison methodology,No,No,No,4,N/A,N/A,No,Yes,N/A,N/A,N,N,N/A,N/A
2018,SEAMS_Tun,How to express requirements and specify behaviour in a way that helps identify the need for adaptation in adaptive security-critical systems?,Real application,Real-world experiment,Expressing requirements and specifying behaviour,Modelling,Level 4 or 5,Level 4 / 5,Positive,Sharing file application,Data storage,Bayesian classification,logistic regression,Yes,Yes,Naive Bayes Classifiers and logistic regression classifiers,Naive Bayes Classifiers and logistic regression classifiers,Yes,No,No,6,Generated data (not public),Synthetic,Yes,Yes,Input approximation (they introduce this concept -- sounds like parametric to me),Parametric,N,N,Bayesian classification logistic regression,Learning
2018,SEAMS_Guerriero,How to designand runtime methods enabling so called privacy-by-design in a Big Data context (data intensive applications)?,Example application,Theoretical analysis,Policy reinforcement in data-intensive applications (language and algorithm),Alt,Level 4,Level 4,Positive,E-commerce - consumers' financial transactions,Data centres,,,Yes,Yes,No comparison - checking accuracy and overhead,No comparison - checking accuracy and overhead,Yes,No,No,3,Ramdomly generated datasets (not public),Private,No,Yes,Structural / Behavioural (changing policies),Structural,N,N,policy-based - language defined policies which are checked by an algoirthm at runtime,Policy
2018,SEAMS_Dobaj,How to combine and extend established risk and security analyses methods to automatically generate test cases and resilience mechanisms that are both implemented by a generic execution engine?,PhD research proposal,N/A,Method and a toolchain for assessing risks in Cyber-physical systems,Security,N/A,N/A,N/A,Security and safety critical CPS,Cyber-security,,,No,No,No comparison,No comparison,No,No,No,3,N/A,N/A,No,Yes,N/A,N/A,N,N,N/A,N/A
2018,SEAMS_Peruma[ABSTRACT],Why security is a critical quality attribute in self-adaptive systems?,Description of why security is quality attribute for SAS,Theoretical analysis,Security as a quality attribute in SAS,Security,N/A,N/A,N/A,Security in SAS,Cyber-security,,,No,No,No comparison,No comparison,No,No,No,0,N/A,N/A,No,No,N/A,N/A,N,N,N/A,N/A
2018,SEAMS_Mann[ABSTRACT],Why data protection is an important attribute in self-adaptive systems,Description of why data protection is important in SAS,Theoretical analysis,Data protection in SAS,Security,N/A,N/A,N/A,Security in SAS,Cyber-security,,,No,No,No comparison,No comparison,No,No,No,1,N/A,N/A,No,No,N/A,N/A,N,N,N/A,N/A
2018,SEAMS_Sedgewick[ABSTRACT],How can blockchain technology be used to create distributed self-adaptive systems?,Proof of concept,Real-world experiment,Using blockchain to develop distributed self-adaptive systems,Alt,Level 4,Level 4,Positive,Smart home - security in SAS,Other,,,No,No,No comparison,No comparison,Yes,No,No,3,N/A,N/A,No,Yes,Structural (exclude nodes from the infrastructure),Structural,N,N,Blockchain (through consensus),Policy
2018,SEAMS_Tun[ABSTRACT],How are security requirements and security mechansism for SAS different from other requirements and mechanisms to ensure them?,A dialogue,Theoretical analysis,Security requirements and mechanisms for SAS,Security,N/A,N/A,N/A,Security in SAS,Cyber-security,,,No,No,No comparison,No comparison,No,No,No,0,N/A,N/A,No,No,N/A,N/A,N,N,N/A,N/A
2018,SEAMS_Duarte,How to create a method to learn human-readable models that capture non-deterministic impacts explicitly?,Real application (they use an examplar application to test their methods),Real-world experiment,Explicitly capturing non-determism impact on adpatation,Modelling,Level 4,Level 4,Positive,Web applications in public clouds,Data centres,K-planes (clustering approaches),,Partial (no code - only high level algorithms),No,cubist and linear regression to measure accuracy,cubist and linear regression to measure accuracy,Yes,No,No,5,Autobench / httpref (workload),Private,No,Yes,"Parametric / Structural (adds, removes nodes in the system)",Structural,N,N,k-planes,Learning
2018,SEAMS_Rodrigues,How to combine off-line requirements elicitation and modelchecking with on-line data collection and data mining to guarantee the systemâ€™s goals?,Simulation,Simulation,Assurance for self-adaptive systems,Modelling,Level 4,Level 4,Positive,Body sensor networks,Internet of Things,data mining,decision trees,Yes,Yes,Different scenarios,Different scenarios,Yes,No,No,16,N/A,N/A,No,Yes,Parametric,Parametric,Y,N,model verification and datamining,Learning
2018,SEAMS_Moghadam,How to create an adaptive runtime control using reinforcement learning for real-time programs based on Programmable Logic Controllers?,Simulation,Simulation,Adaptive runtime control for  real-time programs,Modelling,Level 4,Level 4,Positive,Industrial control systems (Programmable Logic Controllers),Other,q-learning,,Partial (no code - only high level algorithms),No,Comparing with different parameters for the learning algorithm,Comparing with different parameters for the learning algorithm,No,No,No,1,N/A,N/A,No,Yes,Parametric (changing actions),Parametric,N,N,q-learning,Learning
2017,SASO_Tamersoy,"How can the adaption of model objects (roles goals and organisations), reduce the complexity of requirement models for  Adaptive Multi-organizational Systems? ",Case-Study Story,Theoretical analysis,Improve requirements model and reduce model complexity,Modelling,N/A,N/A,Positive,Adaptive Multi-organizational Systems,General SAS,,,No (No explicit details were given beyond the mention of a case-study performed),No,Non-adaptive model,Non-adaptive model,N/A,N/A,N/A,1,N/A,N/A,N,N/A,Roles and goals (model objects),Meta,N,N,Non-Functional requirements,Policy
2017,SASO_Esterle,Can efﬁcient coverage maximisation be achieved while limiting information exchange and altering the current conﬁguration over time?,Simulation,Simulation,Improved approximation algorithm,Performance,Level 4,Level 4,Positive (mostly),Smart camera networks,Computer vision,approximation algorithms,,"Yes (algorithms, simulation tools and problem are detailed)",Yes,Self-organising is compared against decentralised and centralised variations of the same algorithm,Self-organising is compared against decentralised and centralised variations of the same algorithm,No,No (Simulated systems compared),No,6,N/A,N/A,N,Yes,Camera coverage,Parametric,Y,Y,Protocol,Policy
2017,SASO_Audrito,Can a compositional gradient algorithm maintain a low communication overhead with higher accuracy in dynamic environments?,Real-world experiments,Real-world experiment,new gradient algorithm,Performance,Level 4,Level 4,Positive,IoT,Internet of Things,gradient algorithm,Self-Healing gradient,Yes (code available and the layout of physical hardware described),Yes,Individual gradient algorithms and a dampened variant of their approach,Individual gradient algorithms and a dampened variant of their approach,Yes,Yes,Yes,21,N/A,N/A,N,Yes,Gradient algorithm,Meta,N,N,Protocol,Policy
2017,SASO_Weißbach,Can role-based adaption operations be used to perform correlated adaptions within self-adaptive systems?,Real-world experiments,Real-world experiment,Coordination of managed application adaption,Distributed coordination,N/A,N/A,Positive,distributed self-adaptive software systems,General SAS,,,Yes (the experiment is clearly defined with code/approach detailed in a previously referenced paper),Yes,compares different scenarios and node count,compares different scenarios and node count,Yes,No,No,9,Synthetic,Synthetic,N,Yes,Managed application behaviour,Structural,N,N/A,N/A,N/A
